videoID,Comment,publishedAt,Channel,Label,Label2,Label3
OOvENoZMmK4,#fuckcnn #fakenews #cnnsucks #fuckcommunism #fuckchina,2020-05-15T03:36:49Z,CNN,Hate,,Hate
NK3W5IPE9Oc,"In the U.S. 2019, it was estimated that 2.3 million people died of tuberculoses, and 600,000 people died of pneumonia, and last time I checked the whole world didnâ€™t shut down for those deaths, instead the quarantined that sick people, while the non-sick people continued to go to their stores, and jobs without worry, and your telling me that a virus that has Only killed 147,303 people is enough to shut the entire U.S. Down??   #KungFlu is a Hoax.",2020-08-01T23:54:18Z,CNN,Hate,,Hate
#NAME?,#ChinaVirus  #CommunistDictatorXi #BioWeaponsInWu,2020-04-02T18:52:53Z,CNN,Hate,,Hate
KXXRYmwEcWM,Kungflu gets the loudest reaction so it is now Kungflu hereafter! #Kungflu #ChinaVirus #WuhanVirus Our enemy is china and chinese!,2020-06-24T07:19:20Z,CNN,Hate,,Hate
KXXRYmwEcWM,#kungFLU,2020-06-24T03:53:28Z,CNN,Hate,,Hate
fN2tgtcKGck,#chinavirus #kungflu #chibarc #ibarc #abarc #copperkills #trillionairesfortrump #defundchina #chinabanks,2020-08-03T07:29:19Z,LAtimes,Hate,,Hate
fN2tgtcKGck,#KUNGFLU,2020-06-22T08:53:18Z,LAtimes,Hate,,Hate
fN2tgtcKGck,#KungFlu,2020-06-21T11:58:21Z,LAtimes,Hate,,Hate
fN2tgtcKGck,#KungFlu !,2020-06-21T04:49:31Z,LAtimes,Hate,,Hate
0pjsx94m8qA,Well it did come from China you idiots. #Kungflu,2020-03-19T18:19:27Z,LAtimes,Hate,,Hate
0pjsx94m8qA,"#KungFlu awesome, i mean it originated in China, so, appropiate?",2020-03-18T20:31:23Z,LAtimes,Hate,,Hate
0pjsx94m8qA,It started in Wuhan CHINA! Itâ€™s the Chinese coronavirus. End of story #chinavirus #kungflu,2020-03-18T20:19:38Z,LAtimes,Hate,,Hate
FjWc6ZKEcGw,"The corona virus is turning me into a liberal.  Iâ€™m staying home, not going to work, complaining and collecting checks from the government #chinavirus",2020-04-18T08:35:45Z,msnbc,Hate,,Hate
eEup9pErtmM,#makechinapay   !!!!       ...dearly.,2020-04-07T02:03:35Z,msnbc,Hate,,Hate
pPq2x7l63p8,All propaganda Spanish flu wuz the worst with less technology.... so I say dont use black people to push you political agendas.... he already wuz sick... #fuckcovid19 #chinesecoronavirus #wuhancoronavirus #kungflu #chinesehantavirus #chinadidit #FreeAmericaNow,2020-05-31T23:26:13Z,msnbc,Hate,,Hate
B1KYk2rtemg,Didnâ€™t trump say the #kungflu is a HOAX ?,2020-10-02T08:36:05Z,msnbc,Hate,,Hate
71RnbszZ9Lw,#chinavirus,2020-03-20T01:15:25Z,msnbc,Hate,,Hate
RN42t0D51bc,Might make him rethink allowing the CCP-controlled Huawei get their fangs into the UK! Wake up world! #makechinapay #boycottchina,2020-04-06T21:00:09Z,msnbc,Hate,,Hate
5BQ8l8grQ4g,#MakeChinaPay They are responsible for this pandemic.,2020-03-31T18:32:42Z,msnbc,Hate,,Hate
9J3vrJNGxQA,#FUCKCHINA,2020-02-10T00:28:51Z,nbcNews,Hate,,Hate
WdvZDWi51To,"Fake News NBC conveniently failed to mention that Communist/Socialist China covered up the spread of the virus for many weeks, much like how Hillary Rodham Clinton covered up her crimes through bleach bit. #China #ChinaVirus",2020-03-24T19:42:46Z,nbcNews,Hate,,Hate
ZW-JpJxEEKk,"Never forget where this killer virus came from = Wuhan, China.  Chinese Communists Knew, They Lied thereby allowing people to travel to/from China allowing this killer #ChinaVirus to travel to Italy and Europe.   China has to be held accountable for this carnage.",2020-03-14T05:17:34Z,nbcNews,Hate,,Hate
eMbEao8EmSo,#fuckchina,2020-04-01T11:19:35Z,nbcNews,Hate,,Hate
Xxqq8nLYqdY,#MAKECHINAPAY !!!   #MAGA !!!!!!!!,2020-04-04T08:33:22Z,nbcNews,Hate,,Hate
mNB8zN5CQGc,#MakeChinaPay #ChineseCoronaVirus,2020-03-26T04:20:42Z,nbcNews,Hate,,Hate
Vf_waLOYm2k,37:44 LOL #ChinaVirus #WuhanVirus,2020-04-19T08:00:11Z,nbcNews,Hate,,Hate
YFWBJz8UIl8,How much will we sue China for per death? 10 million? #MakeChinaPay,2020-04-19T07:43:24Z,nbcNews,Hate,,Hate
m5fsidSOJMw,#makechinapay,2020-04-13T14:54:00Z,newyorkTimes,Hate,,Hate
m5fsidSOJMw,"This proves that the real virus in China is not only the Chinavirus, but also the CCP.   #Chinavirus #XinnieThePooh #Chinazi #FreeHK #FreeTibet #FreeUyghurs",2020-02-25T14:09:24Z,newyorkTimes,Hate,,Hate
LwqhvRcBrK4,#makechinapay,2020-04-01T11:02:46Z,newyorkTimes,Hate,,Hate
LwqhvRcBrK4,#MakeChinapay,2020-03-31T10:39:51Z,newyorkTimes,Hate,,Hate
LwqhvRcBrK4,#chinavirus ðŸ‡¨ðŸ‡³ ðŸ¦ ,2020-03-30T11:05:07Z,newyorkTimes,Hate,,Hate
LwqhvRcBrK4,#Chinavirus co-sponsored by WHO & UNICEF,2020-03-25T19:26:00Z,newyorkTimes,Hate,,Hate
LwqhvRcBrK4,#chinesvirus #wuhanvirus #chinavirus,2020-03-19T09:37:14Z,newyorkTimes,Hate,,Hate
LwqhvRcBrK4,#chinavirus,2020-03-18T23:44:12Z,newyorkTimes,Hate,,Hate
bE68xVXf8Kw,#fuckchina #fuckcommunism #kungflu #vivatrump #maga #trump2020 #buildthewalldeportthemall,2020-04-04T21:42:48Z,newyorkTimes,Hate,,Hate
bE68xVXf8Kw,#ChinaLied #PeopleDied #CCPVirus #ChinaVirus #Chinese_Originated_Virus_In_December_2019,2020-03-28T15:51:38Z,newyorkTimes,Hate,,Hate
bE68xVXf8Kw,#ChineseVirus  #QuestionChineseGovernment #MakeChinaPay,2020-03-27T06:38:12Z,newyorkTimes,Hate,,Hate
bE68xVXf8Kw,#ChineseVirus #MakeChinaPay,2020-03-26T19:58:11Z,newyorkTimes,Hate,,Hate
QyCVrmUfimc,#makechinapay,2020-03-27T10:48:39Z,newyorkTimes,Hate,,Hate
ysAAZisYiUg,#CHINAVIRUS.  #WSUHANVIRUS.  #KUNGFLU,2020-07-21T04:11:14Z,newyorkTimes,Hate,,Hate
s4p8DM8rKJI,"And people say this whole COVID thing isn't a ploy between China and WHO. They're in bed together. I say we shut down WHO and nuke China already. If the US were in China's spot, every country in the world would be declaring war or trying to take us out. So why don't they wanna take out China? Because they need WHO to implement their NWO plans, and China is the biggest contributor to those plans. #FuckChina #FuckWHO #FuckGlobalists",2020-05-12T12:01:20Z,Reuters,Hate,,Hate
1jUPeFw4T2c,#chinavirus,2020-03-26T01:28:30Z,USAtoday,Hate,,Hate
tmCjJsVCPlI,#chinavirus,2020-03-27T14:57:31Z,USAtoday,Hate,,Hate
hIpCSt6NUJg,we call  name exactly  chinese virus  or   wuhan  virus,2020-03-18T03:56:48Z,foxNews,Hate,,Hate
0GE4dq9G-rA,"â€œPossiblyâ€ linked to the virus. Solid evidence of nothing.  Kids get symptoms of all kinds all the time. But since wuhan flu is around, letâ€™s blame that and keep people scared.  Terrible reporting.  Shame. Also arenâ€™t these kids who have been in quarantine for weeks/months?",2020-05-19T21:07:00Z,abcNews,Hate,,Hate
9qTPDtBgbBI,Organisasi Kesehatan Dunia menjadi organisasi sentuhan patuh Cina,2020-02-11T20:01:27Z,nbcNews,Hate,Non-hate,Non-hate
1rJH6cai-fs,"Blame this Wuhanvirus on China. Stop attacking president Trump ans his Cabinet. They have been working day and night to save American life, the economy, and everything else. It happens what has already happened. Time to stand together to fight this invisible enemies. May God bless the America and President Trump. The ones who keep bashing the President, just stop one second to ask yourself what you have done for the country???",2020-04-01T20:14:54Z,CNN,Hate,,Hate
Yu9jpEmzymU,CoronaVirus = ChineseVirus = CCPVirus hunts  those who are close to CCP,2020-03-18T17:34:35Z,foxNews,Hate,,Hate
5W9vjsFQUUU,calling the virus wuhan virus is music to my ears,2020-04-06T05:34:08Z,foxNews,Hate,,Hate
vGiV5ITWVWY,"Please defend and protect the USA from the voter fraud democrats and the US economy killer- china virus, Mr. President Sir. Expose them all and make them pay. God Bless You and All the Great Work You Do!",2020-03-24T21:15:16Z,foxNews,Hate,,Hate
m3LZsTBuBo4,"1039  i do not think china could have stopped it it drew attention to how many peopel die senselessly of cold and flu every year because doctors avoid antibiotics and peopel are not explained about cold and flu symptomsÂ   who wants to die of pneumonia some cold affect peopel at te frog time when they are stressed of weak immune system and any age really plus even they kids they donot treat kids here of colds and do not promote sick leave kids are taken very sick today care and school  that is not normalÂ   that had been happening nd every year there is one virus or the otherÂ   and before china virus there were others that no one could have really prevented that si not nice to continue to give guilt especially that china is trying to clean up and they did a lot even in rest of their povertyÂ   Manichin iso ing o rgnize cetra bank to control commercial banksÂ   why banks are allowed to charge such giant interest to peopel on lons and credit cars when peopel experience financial difficulty and destry the peopel credit rating ?  they already said it several time o various news channels that once person is on ventilator 80 percent of them die  what doctor do to vent ventilators and how are they disinfected ???  caus ef they reuse they might infect peopleÂ   doctors touch with gloves the machine themselves?  why youÂ  P ra s i NN 9Â  judges?      Fokker planes use in WW2 by Nazi were build in Englan until 1942 and actually the planes use to attack by Nazi to take over EuropeÂ   hus idea was that for one of the songs to fly to mongolia they attempt dto use thsi as a misuse of public funds by family more of this be coming?    notice that infection came to US via NewYour Airports the Airport never shut down there and Governor of New York hadnt been handling the crisis so wellÂ     what is Airport management of this crises do they get washable reusable face masks at the check in counter?? as part of check in processÂ   Â what is people nee dto blow nose and use lot of napkins like Teresa may during that one visit with all country leaders  why not make all conversion with country leaders open ad not secretÂ   stop any secret businessÂ   Barr is doing secret business an dit is nothing to end well for anyoneÂ   loo all judges are so vague  the only reason to attack china is to take economic advance of the country ??        please start deporting the 700 K children where do you deports them???  cant they be offered for adoption ??  how some people allowed to adopt 35 children??      please start deporting the 700 K children where do you deports them???  cant they be offered for adoption ??  how some people allowed to adopt 35 children??    about that signature about worker training no one else signed only president trump there dd not wnat to sign they kept asking if Ivanka agreed and they were silent when Ivanka was asking do you all agree ?  they all scared so that signature doe nsot even count o not give them any moneyÂ   any more money and look where they spending the money if you gave them anyÂ   especially do not give any contact to IBM they known to help Nazies and squander all the moneyÂ   they had names of people in concentration camps and actually had record of stolen atet that was controlled trough switzerland ?? was IBM machines only in concentration camps or also in Banks that means Bill Gays benefits from all thsi informationÂ       they train hackers    drink what water????Â   only drink bottle no fluorideÂ     The Fokker factories were confiscatedÂ       by the Germans and were used to build BÃ¼cker BÃ¼ 181 Bestmann trainers and parts for the Junkers Ju 52 transport.Â       At the end of the war, the factories were completely stripped by the Germans and destroyed by Allied bombing.  https://en.wikipedia.org/wiki/Fokker    Do you knwo that hitler planes were all Fokkers?  but how the Germany seized Neitherland factory?    it wa snot occupied  so that means all teh way through 1945 the Fokkers were build in Netherlands and supplied to Germany to bob Russian and other armies ?  Works[edit]  In addition to the 1566 manifesto, Coornhert wrote aÂ       treatise against the capital punishment of heretics,Â       a pamphlet defending the rebellion of the United Provinces,Â         a preface to the Dutch grammar published by the SocietyÂ       of Rhetoricians of Amsterdam,Â       and a number of poems,Â     including, according to some,Â       the popular song, Wilhelmus van Nassouwe.[5]Â       Others, however, attributed it to Philip van Marnix.Â       In 1586 he produced his original masterpiece, the ZedekunstÂ         (""Art of Ethics"").  By the time he died in 1590,Â       his Dutch translation of the New TestamentÂ         (following the Latin version of Erasmus)Â       was left unfinished. His collected works, in prose and verse, were published in 1630 in 3 volumes.[1]  Isaac D'IsraeliÂ       called him ""one of the fathers of Dutch literature, and even of their arts.""[5]      gra N N d faÂ  tÂ  herÂ   Quotes[edit]    ""Each wants to dictate another's creed ... This is done by those who formerly taught that such things do not become the Christian""  ""Rest Elsewhere"" (his motto).  ""...a voluntary crowbar to the murderous prison of conscience"" (on himself).[6]  https://en.wikipedia.org/wiki/Dirck_Coornhert       https://www.youtube.com/watch?v=Be0qStMULIk  start 20 minÂ  watched until 28:09  jewish R view  locating people in concentration campsÂ   I B IVI  k r o l iÂ  kÂ   my cat    26 y a r aÂ   Ð¯R  Israel has may 9 as national holiday of victory and Israel religion holiday  May 9    religious holiday  why 9??  cause May 8 was pact with US and BritainÂ   But they made the holiday in Israel May 9  https://www.youtube.com/watch?v=Zl25wny8SQg  anatomy of personÂ   start 29:47 until 32:43  did you sees packing about Barr also does surveillance personally if he leaking all that information personally to A show ??  A Shiff?    did president trump heard hat Barr is very scared on President and that he is a victim??  that one hour video about Barr hearing is important !!!!!!!!!!!!!!    !!!!!!!!!!!!  !!!!!!!!  !!!!!!!!!  !!!!!!!!  show himÂ   briefÂ   that Barr said to someone that he is very scared for his career and his life",2020-07-05T07:37:37Z,LAtimes,Hate,,Hate
pb_c5ffl6dA,"It has become obvious that testing numbers alone have been used to drastically strip us of our constitutional and civil rights in spite of the fact that the death rate from the wuhan virus alone are lower than previous flu outbreaks.  The deep state communist ""medical industry"" has to keep this sham going as long as they can so of course they need to keep the testing numbers pumped up.  At the same time they have to do everything possible to stop real doctors successfully treating real patients from presenting evidence that directly contradicts the ""accepted propaganda line"".  Sorry dock but we're on to you!",2020-08-27T16:08:28Z,yahooNews,Hate,,Hate
F9E-q-mIzJc,The china virus,2020-07-22T01:46:44Z,USAtoday,Hate,,Hate
qxnETrhOIAE,Where it began. I'm not allowed to say it. But it's been called the wuhan flu   They spread it around Spread it around the world Now your scared of me I'm scared of you..,2020-03-28T12:33:41Z,cbsNews,Hate,,Hate
eT47ulzfOMo,i definitely believe that this virus was made in wuhan virus facility and leaked by mistake. chinese had eaten bats and other animals for more than thousands years. it becomes problems now? not a chance,2020-04-16T01:39:59Z,foxNews,Hate,,Hate
3UhVhNPwGpU,"CCP is far advance with nanotechnology â€”â€” recently they presented their nano penises .  Mr Ted seems to like it , he calls It revolutionary and true game changer . He finished with quote â€œ now i dont need US FUNDING - with the Xiâ€™s micropenis - i can never be unsatisfied & yes CCP has done great (blow)job in keeping wuhan virus local affairsâ€",2020-04-10T02:15:58Z,foxNews,Hate,,Hate
qFlqXPl_hZQ,She's risking her life telling the truth about china virus.,2020-09-16T01:27:05Z,foxNews,Hate,,Hate
MSGtwCKbCQo,"In January WHO said this wuhan virus virus is nothing.. even Fauci had a wrong assumption believing WHO butTrump said Close the boarders in January and he was called  racist and xenophobe! ..so yes, Trump 2020!",2020-07-29T04:32:36Z,CNN,Hate,,Hate
Am5m7jcLxXQ,"i dont know witch is worse to have corona virus#china virus for trump.or biden metal sick,and dont care about usa and,the world you.demmo rats what are you good for demmo rats was the one who started slavery opps sorry to tell a little about history sad",2020-10-02T06:49:01Z,nbcNews,Hate,,Hate
6oZl-jZJqAc,Lock California down for 5 years pls! They are spreading the chinesevirus across States.,2020-07-13T23:37:59Z,Reuters,Hate,,Hate
k3szAFlhoHA,The wuhan virus demons are targeting and murdering people whoever they want. Nobody is safe.,2020-10-04T01:08:49Z,foxNews,Hate,,Hate
_JtWVHmo2lQ,It is the china virus! Its from china duh! Wuhan should be abandoned!,2020-07-17T06:29:25Z,msnbc,Hate,,Hate
4l8y_TLPCTg,I beat this horrible crazy china virus,2020-10-11T20:08:57Z,foxNews,Hate,,Hate
LwqhvRcBrK4,All countries affected by wuhan viruses should seize all china's assets for world courts to award damages to countries affected by wuhan viruses,2020-06-15T00:26:50Z,newyorkTimes,Hate,,Hate
EaEfAUXXq3g,"For those that still believe that this chinese virus is a hoax, please go to NY and help out!  Those that refused to wear masks /social distancing by stating ""my body my choice "" , please don't take up hospital beds if you do catch corona!",2020-04-27T22:46:57Z,cbsNews,Hate,,Hate
4vgPegYuhs4,"How many time he said "" china virus "" = how much worst of he handles it and waana ship a blame ,  so tried ðŸ˜­ðŸ˜­ðŸ˜­",2020-07-24T18:48:48Z,USAtoday,Hate,,Hate
KdXLARNcHIM,"Notice how he didn't call it ""china virus"" lol",2020-10-02T13:13:53Z,CNN,Hate,,Hate
1dGjAkDfdO8,Wait a minute...I thought painting streets with anarchist slogans solved the crime and china virus problem,2020-07-16T12:48:50Z,abcNews,Hate,,Hate
Am5m7jcLxXQ,The china virus got him! Lol,2020-10-02T14:54:58Z,nbcNews,Hate,,Hate
Rx7N2XmgWsI,The ccp wuhan virus has given the world an immunity to ccp and cnn fear propaganda.ðŸ˜·,2020-05-14T02:13:00Z,CNN,Hate,,Hate
s7klbHPC0eQ,"Breaking and entering is high during wuhan virus crisis, in highest crime city in the nation. Lets release more criminals, they say",2020-04-15T17:46:08Z,foxNews,Hate,,Hate
44-TzNRrwZU,"He lost me at ""china virus"" 15 seconds in. What a moron.",2020-07-21T21:47:33Z,foxNews,Hate,,Hate
qFlqXPl_hZQ,"So officially  rename this virus what it truly is, ""china virus"". Hope the moniker sticks",2020-09-16T03:53:20Z,foxNews,Hate,,Hate
CVLpAMlaoM8,fake numbers and lies tell me how many died from the regular flu zero cause all deaths are labled wuhan flu,2020-05-28T16:29:57Z,CNN,Hate,,Hate
#NAME?,"the title is wrong , it the china virus , the bat eaters is what started it and that where it came from .",2020-08-18T18:18:56Z,foxNews,Hate,,Hate
DLJwn3CXWa4,It's the wuhan virus! Call it what it is patriots wuhan carona virus !,2020-03-14T16:30:31Z,foxNews,Hate,,Hate
pggk2TSGcwk,The white house home of the china virus,2020-10-07T01:26:51Z,msnbc,Hate,,Hate
qFlqXPl_hZQ,And this is exactly why Trump named it the china virus!  Although I think the ccp virus would be a little more appropriate.,2020-09-16T02:23:00Z,foxNews,Hate,,Hate
CVLpAMlaoM8,Fake numbers.  Counting all deaths in NY as wuhan flu.  All lies as usual,2020-05-28T16:09:22Z,CNN,Hate,,Hate
JHW_Gqj1X9U,"trump lost three whole month of time since the outbreak of  wuhan virus,  trump's official just keep on sitting and laughing at China, any harsh action done now in us seems too late",2020-03-14T07:50:43Z,cbsNews,Hate,,Hate
409o5H50vbA,"""the china virus""       Why is he president?",2020-08-24T01:09:40Z,cbsNews,Hate,,Hate
qFlqXPl_hZQ,The china virus.....,2020-09-16T02:22:30Z,foxNews,Hate,,Hate
5W9vjsFQUUU,no more *made in china.   no more filthy wet markets.     wuhan virus.  kung flu.  wuflu. xinny the flu,2020-03-18T06:26:18Z,foxNews,Hate,,Hate
m3LZsTBuBo4,WITHOUT GOVERNOR MOVING FORWARD IN THE VERY FIRST PLACE... CALIFORNIA WILL BE MORE  PEOPLE DIE. PLEASE UNDERSTAND THAT WE HAVE TO BE DOING THIS TOGETHER. THIS wuhan virus IS SPREADING LIKE A CRAZY VAMPIRE.........,2020-07-02T05:17:11Z,LAtimes,Hate,,Hate
jJDGjZ5nefE,"People aren't as scared of the wuhan flu as they used to be so what now? Msm is running reports of an even newer virus but this one kills babies. The constitution, bill of rights is a thing of the past. We're in the new world now.",2020-05-15T02:27:32Z,foxNews,Hate,,Hate
S08puC8Ik64,Obama waited until 1000 people died in america from h1n1 before he declared a state of emergency.  Trump declared a state of emergency for the wuhan virus BEFORE anyone died  Screw you libtards.,2020-03-11T21:37:00Z,Breitbart,Hate,,Hate
b8dGSyHnGF0,I'm english and love The Donald.  We were worried sick when we heard he had china virus.  We look on him as a member of our family.  Keep him safe America.  What a great man.,2020-10-10T20:11:11Z,foxNews,Hate,,Hate
BGrA1FQfsUM,he looks like a pillar of health. surprised his body didnâ€™t fight off the wuhan virus quicker,2020-05-19T21:45:09Z,newyorkPost,Hate,,Hate
dYR8_yAyZZ4,USA must put strict financial sanctions on china for killing Americans by biological weapon(china virus),2020-04-10T10:17:36Z,foxNews,Hate,,Hate
r506gFMBCQo,It is the ccp wuhan virus,2020-04-13T12:09:50Z,msnbc,Hate,,Hate
KF4xRnxLLlc,"It's the china virus,  we all know that Clinton is a lier.",2020-03-28T13:23:57Z,foxNews,Hate,,Hate
b8dGSyHnGF0,"ðŸ‡ºðŸ‡²âœ”ï¸Trump on his covid-19 dominance.. ""Ya know Mark..  it was tremendous, absolutely magnificent, the doctor's said my chest x-rays were absolutely fantastic, they really were.. nancy hates when I say that, all these fake news channels won't tell you but mark I will.. this china virus was really nice to me, I almost felt invincible mark, absolutely tremendous response my body had, I really don't think anyone has ever beat covid as well as I did, we all know what would happen is creepy Joe got the virus, he would absolutely cry, you know Mark speaking of cry, I really did a tremendous Job last week out debating Biden.""",2020-10-10T03:00:20Z,foxNews,Hate,,Hate
J7oLjAAIsKg,"omg!! i thought I was the only one sorry soul having that kind of thought or should I say, suspicion. Not that I have no sympathy for people who have become infected by the wuhan virus nor that it is, of all people I hate, Chris Cuomo who had ""purportedly"" contracted the virus. But there was something obviously off about Chris Cuomo reporting live from his quarantine, like as if, he was actually doing a live feed, only this time around, it's all about himself.  My point is, how could anyone be stupid enough to believe him professing that he's got the virus and that he's painstakingly fighting it off. He even went on to describe how fatally vicious the virus is and it wants its victim to succumb to it. By golly, if that is the case, why was he all up and about for almost an hour, reporting live instead of resting and conserving his energy? And I am not just talking about a single tv appearance,,,he was like documenting his ""covid struggle"" every single chance he could have via his mother station. Again, by golly,,,he should be boosting his immune system by resting if he's really , really sick. The funny thing is, he didn;t look sick at all. He still looked the same. The only thing that didn't look the same is the place where he did his live feeds.",2020-04-22T13:47:13Z,foxNews,Hate,Non-hate,Non-hate
rqExfCNvDa0,Thats it... game over for trump's presidential term thanks to china...and his handling of the china virus....should just throw the towel and give up right now his presidency....which sucked anywise...,2020-04-07T02:57:50Z,foxNews,Hate,,Hate
JdF-p97NdaY,"If anyone thinks that the wuhan flue will end and our lives will snap right back into place, you are sadly mistaken. All around this country people are eager to get back to work, but everything will be slow rolled ""in case"" it flares back up, and it will if you take the word of blue state politicians, the radical left and the ultra corrupt mainstream media. When this happens they will tell you that we must go back to the quarantine and have us give up a little more freedom because this sure didn't work. Every time they will squeeze a little more liberty out of us,  then a little bit more of our liberty, and a little bit more of our liberty until we look down and see that our liberties are gone for good and there's nothing we can do about it. If we don't do something now our great nation that great men fought and died for will be gone forever.  God help our children out and our grand children, this will be hard. They didn't deserve this but hopefully our future patriots will avenge us and rebuild our great Republic.",2020-05-07T04:13:54Z,foxNews,Hate,Non-hate,Non-hate
cQSXWC_-u2E,he keeps saying china virus blaming others not him.,2020-07-17T06:46:41Z,msnbc,Hate,,Hate
H_VgsLu-0Kc,Kim Jong Un got the chinesevirus inside his farthole.,2020-04-26T10:29:59Z,foxNews,Hate,,Hate
VdK77bhAwO0,"We cannot stay at home for a year or more. People will have to learn to live with tbis, protect and respect distance ... and go to work. Countries must reduce the curve growth and continue living with this new normal. Authorities must detect new focus and wishfully create a simple -and cheap- test that can tell anyone if contracted the chinese viruse or not.",2020-04-08T02:41:15Z,foxNews,Hate,,Hate
oZR25h0XAFc,my friend: Hey did you hear? There's a china virus!  Me: wai-   My friend: if people leave from china and they have the virus then do you think they will make the virus come to california...?   Me: I- I cant die... I haven't ate my pizza rolls in a week-,2020-01-30T07:49:23Z,nbcNews,Hate,,Hate
krPe-n5r9CE,100 countrys want China to oay for wuhan virus damage! Biden says no! His family has deals worth millions with Chinese government officials   REALLY JOE!!! Biden Gate coming!,2020-05-19T00:16:38Z,CNN,Hate,,Hate
J7oLjAAIsKg,"Not only did he break quarantine, now both his wife and son have wuhan virus. That might not have happened if he had followed the rules since his wife and children were with him on Easter when he admitted to breaking quarantine.",2020-04-26T01:37:44Z,foxNews,Hate,,Hate
VdK77bhAwO0,We need a little window to be able to spend the wuhanvirus stimulus check.,2020-04-08T23:34:56Z,foxNews,Hate,,Hate
dqE3bKRgY6o,Everyone should get the china virus thats what you want for the planet to go on without humans. now you're all buying all the TP made from trees.,2020-03-22T05:08:08Z,LAtimes,Hate,,Hate
KdXLARNcHIM,"Imagine if he said he is tested positive for china virus... Big failure, lol",2020-10-02T13:08:42Z,CNN,Hate,,Hate
J7oLjAAIsKg,"CNNs ratings are so low, they actually had to con people by faking one of their so called journalists as a china virus victim and now, survivor ....jesus, oh mighty, anyone else felt like throwing up watching this clip ?",2020-04-22T02:01:57Z,foxNews,Hate,,Hate
